0.51344,0.67742,0.76882,0.8172,0.8871,0.92473,0.96774,0.97043,0.97043,1
0.18089,0.47764,0.64228,0.73171,0.8374,0.91463,0.98374,0.99187,0.99187,1
0.061093,0.23473,0.50322,0.63183,0.73955,0.85852,0.9791,0.99035,0.99035,1
0.031621,0.12846,0.29051,0.48814,0.66008,0.83004,0.98617,1,1,1
0.024,0.08,0.21067,0.33733,0.576,0.78,0.992,0.99867,0.99867,1
0.0070922,0.039514,0.11449,0.19757,0.33333,0.58865,0.95846,0.99899,0.99899,1
0.0016181,0.01877,0.043689,0.071521,0.1288,0.23398,0.84854,0.99968,1,1
0.00023849,0.0021464,0.0066778,0.0095397,0.01741,0.030289,0.13952,0.99809,1,1
0,0,0.045455,0.045455,0.045455,0.13636,0.18182,0.45455,1,1
0.16923,0.27692,0.30769,0.33846,0.35385,0.38462,0.38462,0.38462,0.38462,1
