0.59238,0.70674,0.81525,0.82991,0.86217,0.88563,0.89736,0.90029,0.90029,1
0.18015,0.49632,0.65441,0.73897,0.8125,0.86765,0.96691,0.96691,0.96691,1
0.097633,0.31361,0.56805,0.66864,0.77219,0.89349,0.98225,0.99112,0.99408,1
0.050505,0.16162,0.33333,0.5404,0.66667,0.79293,0.96465,0.9798,0.9798,1
0.027875,0.094077,0.27875,0.38676,0.5993,0.73519,0.93728,0.99303,0.99303,1
0.022989,0.057471,0.13506,0.19253,0.37644,0.60632,0.9454,0.99713,1,1
0.0077951,0.024499,0.057906,0.095768,0.15813,0.26726,0.82517,1,1,1
0.0014006,0.0021008,0.010504,0.016106,0.028011,0.056723,0.15196,0.9951,1,1
0,0,0,0,0,0,0.058824,0.35294,1,1
0.1125,0.175,0.19583,0.20833,0.225,0.2375,0.24583,0.24583,0.24583,1
