0.60544,0.74376,0.83447,0.85941,0.89116,0.91156,0.9229,0.92744,0.93197,1
0.24272,0.56634,0.71197,0.78964,0.8479,0.89968,0.98382,0.98382,0.98706,1
0.089506,0.25926,0.57099,0.66975,0.78395,0.8642,0.98148,0.99074,0.99691,1
0.032051,0.12821,0.28846,0.53846,0.72436,0.87179,0.98077,0.99359,0.99359,1
0.023166,0.11583,0.24324,0.32819,0.53668,0.73745,0.98069,0.99614,0.99614,1
0.012698,0.047619,0.13016,0.19048,0.32063,0.55873,0.94921,1,1,1
0.0064795,0.026998,0.057235,0.082073,0.13607,0.21814,0.81102,0.99568,1,1
0.0014164,0.0028329,0.0049575,0.0084986,0.017705,0.035411,0.13952,0.98654,1,1
0.011494,0.022989,0.034483,0.034483,0.045977,0.045977,0.045977,0.35632,1,1
0.25134,0.30481,0.35294,0.35829,0.36364,0.37433,0.37968,0.38503,0.38503,1
